Number of nodes 100 
0 : 3.516595 5.470089 
1 : 8.308286 2.963208 
2 : 5.852641 7.446928 
3 : 5.497236 1.889550 
4 : 9.171937 6.867754 
5 : 2.858390 1.835112 
6 : 7.572002 3.684846 
7 : 7.537291 6.256186 
8 : 3.804458 7.802274 
9 : 5.678216 0.811258 
10 : 0.758543 9.293860 
11 : 0.539501 7.757127 
12 : 5.307976 4.867916 
13 : 7.791672 4.358586 
14 : 9.340107 4.467837 
15 : 1.299062 3.063495 
16 : 5.688237 5.085087 
17 : 4.693906 5.107716 
18 : 0.119021 8.176277 
19 : 3.371226 7.948314 
20 : 1.621823 6.443181 
21 : 7.942845 3.786094 
22 : 3.112150 8.115805 
23 : 5.285331 5.328256 
24 : 1.656487 3.507271 
25 : 6.019819 9.390016 
26 : 2.629713 8.759428 
27 : 6.540791 5.501563 
28 : 6.892145 6.224751 
29 : 7.481516 5.870447 
30 : 4.505416 2.077423 
31 : 0.838214 3.012463 
32 : 2.289770 4.709233 
33 : 9.133374 2.304882 
34 : 1.523780 8.443088 
35 : 8.258170 1.947643 
36 : 5.383424 2.259218 
37 : 9.961347 1.707080 
38 : 0.781755 2.276643 
39 : 4.426783 4.356987 
40 : 1.066528 3.111023 
41 : 9.618981 9.233796 
42 : 0.046342 4.302074 
43 : 7.749105 1.848163 
44 : 8.173032 9.048810 
45 : 8.686947 9.797484 
46 : 0.844358 4.388700 
47 : 3.997826 1.111192 
48 : 2.598704 2.580647 
49 : 8.000685 4.087198 
50 : 4.314138 5.948961 
51 : 9.106476 2.622117 
52 : 1.818470 6.028431 
53 : 2.638029 7.112158 
54 : 1.455390 2.217467 
55 : 1.360686 1.174177 
56 : 8.692922 2.966759 
57 : 5.797046 3.187783 
58 : 5.498602 4.241668 
59 : 1.449548 5.078583 
60 : 8.530311 0.855158 
61 : 6.220551 2.624822 
62 : 3.509524 8.010146 
63 : 5.132495 0.292203 
64 : 4.018080 9.288541 
65 : 0.759667 7.303309 
66 : 2.399162 4.886090 
67 : 1.233189 5.785251 
68 : 1.839078 2.372836 
69 : 2.399525 4.588488 
70 : 4.172671 9.630885 
71 : 0.496544 5.468057 
72 : 9.027161 5.211358 
73 : 9.447872 2.315944 
74 : 4.908641 4.888977 
75 : 4.892526 6.240601 
76 : 3.377194 6.791355 
77 : 9.000538 3.955152 
78 : 3.692468 3.674366 
79 : 1.112028 9.879820 
80 : 7.802521 0.377389 
81 : 3.897388 8.851680 
82 : 2.416913 9.132868 
83 : 4.039121 7.961839 
84 : 0.964545 0.987123 
85 : 1.319733 2.618712 
86 : 9.420506 3.353568 
87 : 9.561345 6.797280 
88 : 5.752086 1.365531 
89 : 0.597795 7.212275 
90 : 2.347799 1.067619 
91 : 3.531586 6.537573 
92 : 8.211940 4.941739 
93 : 0.154034 7.790517 
94 : 0.430238 7.150371 
95 : 1.689900 9.037206 
96 : 6.491155 8.909225 
97 : 7.317224 3.341631 
98 : 6.477460 6.987458 
99 : 4.509237 1.978098 
