Number of nodes 101 
     0 : -1.0000000e+00 -1.0000000e+00 
     1 :  1.0000000e+00 -1.0000000e+00 
     2 :  1.0000000e+00  1.0000000e+00 
     3 : -1.0000000e+00  1.0000000e+00 
     4 : -8.5279729e-01 -1.0000000e+00 
     5 : -6.8392597e-01 -1.0000000e+00 
     6 : -4.9019635e-01 -1.0000000e+00 
     7 : -2.6794918e-01 -1.0000000e+00 
     8 : -1.2986602e-02 -1.0000000e+00 
     9 :  2.7950709e-01 -1.0000000e+00 
    10 :  6.1505665e-01 -1.0000000e+00 
    11 :  1.0000000e+00 -5.0000000e-01 
    12 :  1.0000000e+00 -2.0816682e-12 
    13 :  1.0000000e+00  5.0000000e-01 
    14 :  6.1505665e-01  1.0000000e+00 
    15 :  2.7950709e-01  1.0000000e+00 
    16 : -1.2986602e-02  1.0000000e+00 
    17 : -2.6794918e-01  1.0000000e+00 
    18 : -4.9019635e-01  1.0000000e+00 
    19 : -6.8392597e-01  1.0000000e+00 
    20 : -8.5279729e-01  1.0000000e+00 
    21 : -1.0000000e+00  8.5714286e-01 
    22 : -1.0000000e+00  7.1428571e-01 
    23 : -1.0000000e+00  5.7142857e-01 
    24 : -1.0000000e+00  4.2857143e-01 
    25 : -1.0000000e+00  2.8571429e-01 
    26 : -1.0000000e+00  1.4285714e-01 
    27 : -1.0000000e+00  2.0816682e-12 
    28 : -1.0000000e+00 -1.4285714e-01 
    29 : -1.0000000e+00 -2.8571429e-01 
    30 : -1.0000000e+00 -4.2857143e-01 
    31 : -1.0000000e+00 -5.7142857e-01 
    32 : -1.0000000e+00 -7.1428571e-01 
    33 : -1.0000000e+00 -8.5714286e-01 
    34 : -8.2834754e-02 -1.0449221e-01 
    35 : -4.9413935e-01 -4.9336122e-01 
    36 : -4.7037740e-01  5.1371843e-01 
    37 : -5.6487089e-01 -8.7506770e-02 
    38 : -1.0262858e-02  4.7897340e-01 
    39 : -7.0391469e-01  2.1685830e-01 
    40 : -7.3519054e-03 -5.5119087e-01 
    41 : -7.1251020e-01 -6.9323432e-01 
    42 : -7.0113395e-01  6.9589792e-01 
    43 : -3.4641045e-01  2.0302041e-01 
    44 : -7.1616867e-01 -3.7196125e-01 
    45 :  4.5490727e-01 -2.9395105e-01 
    46 : -7.7506224e-01  5.1662152e-01 
    47 :  4.4189031e-01  5.9857464e-01 
    48 :  3.1810876e-01  1.5547520e-01 
    49 : -2.2418926e-01  6.6419367e-01 
    50 : -7.7282184e-01 -7.4179967e-02 
    51 : -3.9364321e-01 -7.5530407e-01 
    52 : -3.3723005e-01 -2.6210356e-01 
    53 :  3.1330908e-01 -5.8670610e-01 
    54 : -4.8811210e-01  7.1119356e-01 
    55 : -7.9640235e-01 -5.3116772e-01 
    56 : -8.3021656e-01 -8.3305416e-01 
    57 : -8.2811358e-01  8.3353010e-01 
    58 :  1.3115438e-01  7.3259046e-01 
    59 : -8.6447871e-01  6.4003725e-01 
    60 : -8.4925376e-01  3.6366567e-01 
    61 : -2.6446351e-01  4.0545178e-01 
    62 : -8.5616656e-01  7.0361260e-02 
    63 : -8.5535230e-01 -2.1711236e-01 
    64 : -1.4193702e-01 -7.7495176e-01 
    65 :  1.3307375e-01 -3.0944237e-01 
    66 : -5.0051459e-02  1.8877363e-01 
    67 : -5.5273581e-01 -2.8367931e-01 
    68 : -5.9951754e-01 -8.3178177e-01 
    69 :  6.3474936e-01  3.1398676e-01 
    70 : -8.8080638e-01  2.1448642e-01 
    71 : -3.3008673e-01 -4.1903913e-03 
    72 : -2.5635285e-01 -5.3156303e-01 
    73 : -6.5245835e-01  4.0623761e-01 
    74 :  6.6401295e-01 -6.4429870e-01 
    75 : -8.8101890e-01 -3.7911304e-01 
    76 :  1.3737809e-01 -7.8555121e-01 
    77 : -6.9567199e-01 -2.0442556e-01 
    78 : -5.2504697e-01  1.1610503e-01 
    79 : -5.9690578e-01  8.4907683e-01 
    80 : -8.6909615e-01 -6.5710458e-01 
    81 : -6.9514556e-01  5.3951367e-02 
    82 : -1.0935265e-01 -3.3387051e-01 
    83 :  7.1553511e-01  7.0345019e-01 
    84 : -4.8973739e-01  3.1436303e-01 
    85 : -5.6020627e-01 -6.7102755e-01 
    86 : -6.5610547e-01 -5.5892794e-01 
    87 : -1.4557504e-01  8.5281879e-01 
    88 : -6.2707775e-01  5.6780589e-01 
    89 :  5.6336738e-01 -1.5264024e-02 
    90 :  2.6514609e-01  3.9776854e-01 
    91 : -9.0245343e-01  5.0000000e-01 
    92 :  7.5496095e-01 -2.6781486e-01 
    93 : -9.0067032e-01 -7.2314619e-02 
    94 : -3.6877826e-01  8.6430719e-01 
    95 :  1.9860892e-01 -5.9334645e-02 
    96 :  4.1699581e-01 -8.1227609e-01 
    97 : -9.1034619e-01 -5.0898471e-01 
    98 : -9.2268519e-01  9.2400974e-01 
    99 : -9.2268519e-01 -9.2400974e-01 
   100 :  4.4017976e-01  8.1621235e-01 
